network,property,result,runtime,output_intervals,observation
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,9.41,"Y0: [-1026737.34, 8961276.63]; Y1: [-1075435.68, 9747467.3]; Y2: [-904843.5, 10491470.03]; Y3: [-2515830.16, 7231037.07]; Y4: [-1609257.63, 7711990.85]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,9.46,"Y0: [-1026737.34, 8961276.63]; Y1: [-1075435.68, 9747467.3]; Y2: [-904843.5, 10491470.03]; Y3: [-2515830.16, 7231037.07]; Y4: [-1609257.63, 7711990.85]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.34,"Y0: [-686582.32, 5992918.81]; Y1: [-719398.05, 6518987.47]; Y2: [-605431.68, 7016002.31]; Y3: [-1682547.18, 4836152.67]; Y4: [-1076568.67, 5156742.73]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.09,"Y0: [-483962.5, 4224148.07]; Y1: [-507083.79, 4594911.06]; Y2: [-426732.64, 4945284.34]; Y3: [-1185928.95, 3408791.01]; Y4: [-758814.63, 3634817.78]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.67,"Y0: [-1031287.48, 9000963.17]; Y1: [-1080420.94, 9790881.77]; Y2: [-909163.25, 10537771.02]; Y3: [-2527145.66, 7263444.85]; Y4: [-1616759.29, 7745647.7]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,19.4,"Y0: [-1181884.36, 10315623.19]; Y1: [-1237997.33, 11220701.08]; Y2: [-1041654.51, 12076983.71]; Y3: [-2896054.3, 8323943.05]; Y4: [-1852524.21, 8877314.22]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_1_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,19.95,"Y0: [-721215.33, 6293466.78]; Y1: [-755619.07, 6845844.49]; Y2: [-635901.71, 7368073.94]; Y3: [-1767243.35, 5079009.54]; Y4: [-1130760.92, 5415898.84]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.64,"Y0: [-966912.46, 8438733.23]; Y1: [-1012964.6, 9179306.7]; Y2: [-852402.77, 9879609.69]; Y3: [-2369386.57, 6809818.86]; Y4: [-1515824.08, 7261955.12]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,2.8,"Y0: [-908924.86, 7933311.16]; Y1: [-952064.61, 8629364.55]; Y2: [-801046.8, 9287915.11]; Y3: [-2227140.1, 6401463.02]; Y4: [-1424614.72, 6827104.35]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,13.12,"Y0: [-643035.18, 2737637.53]; Y1: [-679779.75, 2909198.21]; Y2: [-849889.43, 3149639.35]; Y3: [-809671.72, 2919777.04]; Y4: [-1076401.02, 2973214.29]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,13.4,"Y0: [-643035.18, 2737637.53]; Y1: [-679779.75, 2909198.21]; Y2: [-849889.43, 3149639.35]; Y3: [-809671.72, 2919777.04]; Y4: [-1076401.02, 2973214.29]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,6.56,"Y0: [-328260.88, 1397802.61]; Y1: [-347086.76, 1485507.49]; Y2: [-433877.45, 1608192.8]; Y3: [-413459.3, 1490791.64]; Y4: [-549604.06, 1517992.46]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,5.62,"Y0: [-203722.65, 867616.8]; Y1: [-215404.94, 922068.84]; Y2: [-269273.44, 998154.36]; Y3: [-256618.1, 925303.93]; Y4: [-341099.52, 942108.45]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,3.24,"Y0: [-544324.54, 2317638.52]; Y1: [-575555.23, 2463102.46]; Y2: [-719425.0, 2666536.76]; Y3: [-685622.62, 2471831.14]; Y4: [-911217.36, 2516996.77]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,27.3,"Y0: [-680387.5, 2896659.12]; Y1: [-719293.37, 3078229.53]; Y2: [-899262.82, 3332643.23]; Y3: [-856752.11, 3089391.59]; Y4: [-1138950.92, 3145945.17]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_2_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,30.36,"Y0: [-364447.33, 1551999.95]; Y1: [-385344.62, 1649364.04]; Y2: [-481718.25, 1785558.71]; Y3: [-459048.36, 1655241.1]; Y4: [-610230.59, 1685403.47]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,3.05,"Y0: [-522913.4, 2226501.52]; Y1: [-552928.94, 2366265.19]; Y2: [-691127.29, 2561642.1]; Y3: [-658679.05, 2374632.85]; Y4: [-875384.98, 2418015.51]",
ACASXU_run2a_1_2_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.74,"Y0: [-527863.78, 2247659.91]; Y1: [-558048.94, 2388603.14]; Y2: [-697692.21, 2585839.68]; Y3: [-664748.23, 2397112.42]; Y4: [-883671.68, 2440764.59]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,11.18,"Y0: [-30827745.76, 8126069.58]; Y1: [-29289816.23, 9905316.4]; Y2: [-35046724.03, 7956746.47]; Y3: [-8443421.9, 29053172.75]; Y4: [-28517885.18, 22266243.67]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,11.17,"Y0: [-30827745.76, 8126069.58]; Y1: [-29289816.23, 9905316.4]; Y2: [-35046724.03, 7956746.47]; Y3: [-8443421.9, 29053172.75]; Y4: [-28517885.18, 22266243.67]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.72,"Y0: [-17815797.28, 4696188.64]; Y1: [-16927050.68, 5724599.92]; Y2: [-20254024.68, 4598410.33]; Y3: [-4879558.36, 16790290.83]; Y4: [-16480864.94, 12868036.29]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.74,"Y0: [-7105161.7, 1872933.01]; Y1: [-6750654.72, 2283103.96]; Y2: [-8077531.9, 1833985.85]; Y3: [-1945801.37, 6696333.57]; Y4: [-6572900.44, 5131544.38]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,3.11,"Y0: [-14829058.23, 3909327.45]; Y1: [-14089132.75, 4765334.23]; Y2: [-16858398.65, 3828112.48]; Y3: [-4061316.26, 13975694.06]; Y4: [-13717896.68, 10711042.17]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,22.78,"Y0: [-23152898.03, 6103841.39]; Y1: [-21997811.59, 7440127.41]; Y2: [-26321474.06, 5976851.91]; Y3: [-6340864.28, 21820961.19]; Y4: [-21418064.38, 16723016.57]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_3_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,20.57,"Y0: [-21126179.78, 5568885.15]; Y1: [-20072063.06, 6788323.23]; Y2: [-24017332.45, 5452930.46]; Y3: [-5786048.65, 19910230.49]; Y4: [-19543563.63, 15258567.08]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.95,"Y0: [-15077302.83, 3974713.13]; Y1: [-14324954.35, 4845047.46]; Y2: [-17140593.52, 3892125.66]; Y3: [-4129316.52, 14209576.71]; Y4: [-13947598.73, 10890263.88]",
ACASXU_run2a_1_3_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.03,"Y0: [-21899602.95, 5773609.24]; Y1: [-20807039.33, 7037660.49]; Y2: [-24896654.96, 5653536.25]; Y3: [-5997574.15, 20639986.84]; Y4: [-20258765.4, 15817788.03]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,8.98,"Y0: [-591341.01, 1160361.58]; Y1: [-765063.92, 1456027.5]; Y2: [-898978.25, 1012284.3]; Y3: [-783379.03, 1031126.08]; Y4: [-876778.33, 1480899.69]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,9.19,"Y0: [-591341.01, 1160361.58]; Y1: [-765063.92, 1456027.5]; Y2: [-898978.25, 1012284.3]; Y3: [-783379.03, 1031126.08]; Y4: [-876778.33, 1480899.69]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.36,"Y0: [-355227.42, 696988.7]; Y1: [-459591.01, 874631.6]; Y2: [-540044.75, 608036.89]; Y3: [-470571.14, 619422.06]; Y4: [-526714.23, 889584.15]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.16,"Y0: [-195537.44, 383651.32]; Y1: [-252977.75, 481507.63]; Y2: [-297297.85, 334700.75]; Y3: [-259048.62, 340995.61]; Y4: [-289991.73, 489676.51]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.43,"Y0: [-369769.05, 725488.39]; Y1: [-478393.09, 910447.16]; Y2: [-562170.62, 632913.23]; Y3: [-489820.32, 644803.77]; Y4: [-548293.07, 925993.16]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,19.9,"Y0: [-545693.37, 1070847.13]; Y1: [-706014.17, 1343687.22]; Y2: [-829631.96, 934204.45]; Y3: [-722876.13, 951614.07]; Y4: [-809139.9, 1366695.14]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_4_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,19.02,"Y0: [-408210.4, 801025.4]; Y1: [-528135.65, 1005120.71]; Y2: [-620573.2, 698805.69]; Y3: [-540787.6, 711787.76]; Y4: [-605264.95, 1022278.77]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.34,"Y0: [-369804.15, 725561.13]; Y1: [-478438.81, 910537.05]; Y2: [-562220.18, 632977.03]; Y3: [-489874.76, 644857.01]; Y4: [-548343.6, 926077.71]",
ACASXU_run2a_1_4_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,2.5,"Y0: [-494118.34, 969606.83]; Y1: [-639270.23, 1216663.13]; Y2: [-751213.07, 845893.11]; Y3: [-654527.34, 861651.79]; Y4: [-732655.51, 1237493.57]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,11.0,"Y0: [-305498.41, 833607.11]; Y1: [-535367.25, 805126.92]; Y2: [-417413.63, 803012.65]; Y3: [-388174.69, 1063897.1]; Y4: [-253081.05, 1004724.55]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,11.03,"Y0: [-305498.41, 833607.11]; Y1: [-535367.25, 805126.92]; Y2: [-417413.63, 803012.65]; Y3: [-388174.69, 1063897.1]; Y4: [-253081.05, 1004724.55]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,5.56,"Y0: [-165123.81, 450619.0]; Y1: [-289359.8, 435217.14]; Y2: [-225626.03, 434077.55]; Y3: [-209812.15, 575121.09]; Y4: [-136802.46, 543100.18]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,5.01,"Y0: [-96595.31, 263616.55]; Y1: [-169275.88, 254606.01]; Y2: [-131990.1, 253939.28]; Y3: [-122739.59, 336451.87]; Y4: [-80029.2, 317721.06]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.75,"Y0: [-189345.01, 516640.84]; Y1: [-331827.28, 499009.59]; Y2: [-258705.67, 497710.59]; Y3: [-240596.29, 659374.02]; Y4: [-156844.11, 622767.66]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,23.27,"Y0: [-302234.09, 824602.86]; Y1: [-529650.81, 796459.8]; Y2: [-412940.61, 794370.72]; Y3: [-384026.01, 1052392.56]; Y4: [-250359.09, 993943.74]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_5_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,23.78,"Y0: [-186020.51, 507647.52]; Y1: [-325996.64, 490285.59]; Y2: [-254184.91, 488997.18]; Y3: [-236372.15, 647901.91]; Y4: [-154115.91, 611815.6]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.67,"Y0: [-183089.62, 499585.71]; Y1: [-320868.69, 482531.59]; Y2: [-250164.07, 481275.08]; Y3: [-232651.31, 637608.38]; Y4: [-151666.21, 602199.95]",
ACASXU_run2a_1_5_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.15,"Y0: [-262835.1, 717078.92]; Y1: [-460592.09, 692617.3]; Y2: [-359103.38, 690800.91]; Y3: [-333955.92, 915165.76]; Y4: [-217718.23, 864355.6]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,9.92,"Y0: [-84087.04, 370736.88]; Y1: [-238067.64, 436405.43]; Y2: [-148326.59, 430857.39]; Y3: [-273348.66, 450235.65]; Y4: [-161890.43, 440401.44]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,9.63,"Y0: [-84087.04, 370736.88]; Y1: [-238067.64, 436405.43]; Y2: [-148326.59, 430857.39]; Y3: [-273348.66, 450235.65]; Y4: [-161890.43, 440401.44]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.33,"Y0: [-58569.46, 258218.91]; Y1: [-165806.47, 303954.82]; Y2: [-103317.01, 300087.37]; Y3: [-190373.4, 313590.18]; Y4: [-112761.24, 306742.82]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.07,"Y0: [-29915.38, 131899.31]; Y1: [-84699.79, 155263.46]; Y2: [-52768.93, 153291.11]; Y3: [-97252.08, 160190.28]; Y4: [-57593.01, 156685.38]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.62,"Y0: [-58137.21, 256305.32]; Y1: [-164594.47, 301709.77]; Y2: [-102546.7, 297883.04]; Y3: [-188978.84, 311275.19]; Y4: [-111922.1, 304484.24]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,20.59,"Y0: [-79105.94, 348813.56]; Y1: [-224010.7, 410615.2]; Y2: [-139533.72, 405424.65]; Y3: [-257209.48, 423630.94]; Y4: [-152295.2, 414381.16]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_6_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,19.12,"Y0: [-60133.22, 265112.7]; Y1: [-170229.22, 312069.21]; Y2: [-106074.79, 308086.35]; Y3: [-195451.33, 321961.71]; Y4: [-115771.76, 314920.48]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.43,"Y0: [-56867.8, 250709.35]; Y1: [-161000.66, 295122.13]; Y2: [-100307.63, 291377.41]; Y3: [-184853.18, 304478.69]; Y4: [-109478.71, 297834.24]",
ACASXU_run2a_1_6_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,2.61,"Y0: [-72165.6, 318215.46]; Y1: [-204336.27, 374596.18]; Y2: [-127292.97, 369854.88]; Y3: [-234633.78, 386469.4]; Y4: [-138934.42, 378025.91]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,11.05,"Y0: [-511676.81, 987480.13]; Y1: [-337813.31, 1137974.26]; Y2: [-551153.46, 1180518.56]; Y3: [-508595.91, 1216811.87]; Y4: [-543706.76, 1015420.3]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,11.01,"Y0: [-511676.81, 987480.13]; Y1: [-337813.31, 1137974.26]; Y2: [-551153.46, 1180518.56]; Y3: [-508595.91, 1216811.87]; Y4: [-543706.76, 1015420.3]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.77,"Y0: [-361855.95, 698341.16]; Y1: [-238898.5, 804756.25]; Y2: [-389780.86, 834842.39]; Y3: [-359668.78, 860528.18]; Y4: [-384501.93, 718079.45]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.43,"Y0: [-213672.07, 412358.65]; Y1: [-141064.15, 475200.82]; Y2: [-230149.84, 492958.19]; Y3: [-212373.18, 508123.06]; Y4: [-227032.4, 424008.41]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.65,"Y0: [-255323.86, 492684.71]; Y1: [-168518.59, 567766.19]; Y2: [-274990.26, 588979.17]; Y3: [-253732.21, 607099.01]; Y4: [-271243.51, 506612.84]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,24.29,"Y0: [-421358.18, 813144.23]; Y1: [-278148.72, 937076.1]; Y2: [-453843.42, 972089.33]; Y3: [-418789.33, 1001976.87]; Y4: [-447695.42, 836150.62]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_7_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,21.54,"Y0: [-340986.09, 658100.12]; Y1: [-225133.42, 758392.24]; Y2: [-367304.13, 786747.48]; Y3: [-338944.55, 810934.89]; Y4: [-362343.14, 676716.2]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.48,"Y0: [-246097.52, 474883.45]; Y1: [-162430.12, 547251.42]; Y2: [-265052.8, 567700.17]; Y3: [-244564.55, 585163.14]; Y4: [-261442.5, 488310.2]",
ACASXU_run2a_1_7_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,2.85,"Y0: [-372099.27, 718070.19]; Y1: [-245624.3, 827503.53]; Y2: [-400780.37, 858427.19]; Y3: [-369818.91, 884825.54]; Y4: [-395345.33, 738381.66]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,10.89,"Y0: [-145945.27, 408141.98]; Y1: [-1344220.56, 664307.97]; Y2: [-544490.1, 1168144.37]; Y3: [-1006889.62, 821036.7]; Y4: [-860440.68, 774917.23]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,10.97,"Y0: [-145945.27, 408141.98]; Y1: [-1344220.56, 664307.97]; Y2: [-544490.1, 1168144.37]; Y3: [-1006889.62, 821036.7]; Y4: [-860440.68, 774917.23]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,5.5,"Y0: [-126496.43, 353736.17]; Y1: [-1165017.52, 575769.79]; Y2: [-471873.83, 1012423.55]; Y3: [-872669.74, 711611.34]; Y4: [-745688.97, 671626.91]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.55,"Y0: [-91679.13, 256356.33]; Y1: [-844326.27, 417270.22]; Y2: [-341964.35, 733723.05]; Y3: [-632452.01, 515722.57]; Y4: [-540406.41, 486741.9]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,3.15,"Y0: [-104769.55, 292942.25]; Y1: [-964851.81, 476830.55]; Y2: [-390757.62, 838446.34]; Y3: [-722730.55, 589338.53]; Y4: [-617525.61, 556213.66]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,28.76,"Y0: [-125538.61, 351046.66]; Y1: [-1156208.72, 571390.24]; Y2: [-468300.74, 1004739.99]; Y3: [-866058.81, 706209.33]; Y4: [-740050.64, 666517.89]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.04,,no data.csv intervals; 
ACASXU_run2a_1_8_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,25.68,"Y0: [-132378.84, 370179.78]; Y1: [-1219192.6, 602528.78]; Y2: [-493814.68, 1059490.29]; Y3: [-913245.73, 744690.17]; Y4: [-780365.03, 702845.41]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.74,"Y0: [-100308.42, 280474.97]; Y1: [-923780.53, 456530.56]; Y2: [-374132.91, 802756.57]; Y3: [-691965.9, 564252.22]; Y4: [-591247.49, 532533.09]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.29,"Y0: [-111982.5, 313159.62]; Y1: [-1031387.33, 509710.51]; Y2: [-417767.08, 896281.3]; Y3: [-772562.49, 629979.19]; Y4: [-660175.89, 594564.34]",
